filename,ground_truth,prediction,confidences
ADNI_137_S_0994_MR_MPRAGE_br_raw_20141210165240800_171_S242838_I461110.nii.gz,T1,T1,6.60;93.40
ADNI_094_S_1164_MR_Axial_STRAIGHT_PD_T2_FSE_br_raw_20080108123522241_1_S44405_I86769.nii.gz,PD,PD,70.88;29.12
ADNI_018_S_2133_MR_MPRAGE_br_raw_20110824142729921_126_S120223_I252599.nii.gz,T1,T1,19.96;80.04
ADNI_067_S_4072_MR_MPRAGE_br_raw_20110706163415122_119_S113733_I243482.nii.gz,T1,T1,5.03;94.97
ADNI_094_S_1397_MR_Axial_STRAIGHT_PD_T2_FSE_br_raw_20071120143343588_1_S42907_I82870.nii.gz,PD,PD,68.73;31.27
ADNI_136_S_0107_MR_Axial_PD_T2_FSE__br_raw_20110610132841953_75_S111201_I239653.nii.gz,PD,PD,92.38;7.62
ADNI_020_S_0213_MR_MPRAGE_br_raw_20061122205152078_98_S22879_I30440.nii.gz,T1,T1,8.58;91.42
ADNI_127_S_0754_MR_Axial_PD_T2_FSE__br_raw_20060905144630794_1_S18514_I23786.nii.gz,PD,PD,73.59;26.41
ADNI_137_S_0722_MR_Axial_PD_T2_FSE__br_raw_20060726153256443_1_S17296_I19708.nii.gz,PD,PD,97.74;2.26
ADNI_037_S_4381_MR_MPRAGE_br_raw_20120119075105923_173_S137404_I279148.nii.gz,T1,T1,6.87;93.13
ADNI_137_S_0669_MR_Axial_PD_T2_FSE__br_raw_20080219084409680_5_S45816_I90704.nii.gz,PD,PD,97.01;2.99
ADNI_005_S_0221_MR_Axial_PD_T2_FSE__br_raw_20061006154402262_1_S19844_I25941.nii.gz,PD,PD,52.45;47.55
ADNI_033_S_1283_MR_Axial_PD_T2_FSE__br_raw_20070208172659191_1_S26142_I38615.nii.gz,PD,PD,82.81;17.19
ADNI_094_S_1417_MR_Axial_STRAIGHT_PD_T2_FSE_br_raw_20080205164656907_1_S45331_I89383.nii.gz,PD,PD,78.02;21.98
ADNI_033_S_0733_MR_Axial_PD_T2_FSE__br_raw_20070216092210125_1_S26586_I40523.nii.gz,PD,PD,75.81;24.19
ADNI_012_S_0689_MR_MPRAGE_br_raw_20070111081610281_1_S24938_I35972.nii.gz,T1,T1,12.39;87.60
ADNI_036_S_4894_MR_MPRAGE_br_raw_20130313142913700_94_S184325_I363016.nii.gz,T1,T1,6.42;93.58
ADNI_130_S_0285_MR_Axial_PD_T2_FSE__br_raw_20070327213909483_3_S29026_I47262.nii.gz,PD,PD,58.69;41.31
ADNI_037_S_4381_MR_MPRAGE_br_raw_20120420133350166_22_S147993_I299165.nii.gz,T1,T1,6.42;93.58
ADNI_130_S_0289_MR_Axial_PD_T2_FSE__br_raw_20080721130359989_9_S53684_I113606.nii.gz,PD,PD,82.34;17.66
ADNI_009_S_4324_MR_MPRAGE_br_raw_20120515192430187_40_S150517_I304421.nii.gz,T1,T1,4.55;95.45
ADNI_036_S_2378_MR_MPRAGE_br_raw_20120210131838455_114_S140408_I283808.nii.gz,T1,T1,5.31;94.69
ADNI_037_S_0627_MR_FSE_PD_T2__br_raw_20070221134408585_1_S26828_I41155.nii.gz,PD,PD,84.96;15.04
ADNI_099_S_0534_MR_MPRAGE_br_raw_20060504132029421_98_S14008_I14611.nii.gz,T1,T1,10.54;89.46
ADNI_002_S_1155_MR_Axial_PD_T2_FSE__br_raw_20140708154217071_25_S97232_I209894.nii.gz,PD,PD,75.77;24.23
ADNI_051_S_1072_MR_MPRAGE_br_raw_20080219130755312_98_S45851_I90757.nii.gz,T1,T1,4.04;95.96
ADNI_127_S_1382_MR_Axial_PD_T2_FSE__br_raw_20071022135130210_89_S41758_I78249.nii.gz,PD,PD,73.80;26.20
ADNI_036_S_4894_MR_MPRAGE_br_raw_20120810124944746_175_S160488_I323094.nii.gz,T1,T1,4.58;95.42
ADNI_067_S_4072_MR_MPRAGE_br_raw_20130710151002667_166_S194448_I379761.nii.gz,T1,T1,6.08;93.92
ADNI_130_S_0956_MR_Axial_PD_T2_FSE__br_raw_20070416160710725_1_S29746_I49214.nii.gz,PD,PD,79.17;20.83
ADNI_012_S_4094_MR_MPRAGE_br_raw_20130722105656502_1_S195955_I381845.nii.gz,T1,T1,13.98;86.02
ADNI_035_S_2074_MR_MPRAGE_br_raw_20110401142308644_78_S102907_I225784.nii.gz,T1,T1,2.97;97.03
ADNI_035_S_4414_MR_MPRAGE_br_raw_20150414115520308_40_S255676_I486911.nii.gz,T1,T1,5.04;94.96
ADNI_094_S_1164_MR_Axial_PD_T2_FSE__br_raw_20061212153254479_1_S23870_I32805.nii.gz,PD,PD,66.80;33.20
ADNI_073_S_4360_MR_MPRAGE_br_raw_20140113133745557_72_S210056_I404556.nii.gz,T1,T1,7.36;92.64
ADNI_035_S_4114_MR_MPRAGE_br_raw_20110719153751715_26_S115332_I245678.nii.gz,T1,T1,6.46;93.54
ADNI_053_S_0507_MR_MPRAGE_br_raw_20080612092713765_86_S51462_I109281.nii.gz,T1,T1,8.10;91.90
ADNI_067_S_1253_MR_MPRAGE_br_raw_20080514115218138_63_S50068_I105503.nii.gz,T1,T1,4.92;95.08
ADNI_130_S_4817_MR_MPRAGE_br_raw_20140729133030953_92_S226290_I437518.nii.gz,T1,T1,16.64;83.36
ADNI_012_S_4094_MR_MPRAGE_br_raw_20150827185930831_96_S270246_I507161.nii.gz,T1,T1,10.57;89.43
ADNI_037_S_4381_MR_MPRAGE_br_raw_20160603155035966_77_S455200_I723965.nii.gz,T1,T1,8.21;91.79
ADNI_094_S_1417_MR_Axial_STRAIGHT_PD_T2_FSE_br_raw_20090219161140518_1_S63350_I136531.nii.gz,PD,PD,68.55;31.45
ADNI_022_S_2263_MR_MPRAGE_br_raw_20120306114443796_41_S142751_I288249.nii.gz,T1,T1,4.43;95.57
ADNI_041_S_1412_MR_MPRAGE_br_raw_20080212172548859_98_S45602_I90253.nii.gz,T1,T1,11.30;88.70
ADNI_035_S_4114_MR_MPRAGE_br_raw_20130222145703347_81_S166722_I332637.nii.gz,T1,T1,5.34;94.66
ADNI_099_S_0551_MR_MPRAGE_br_raw_20060518091159500_98_S14644_I15575.nii.gz,T1,T1,11.39;88.61
ADNI_013_S_4768_MR_MPRAGE_br_raw_20120801103027124_3_S158080_I316960.nii.gz,T1,T1,18.14;81.86
ADNI_041_S_4989_MR_MPRAGE_br_raw_20130426141247007_128_S188080_I368911.nii.gz,T1,T1,7.67;92.33
ADNI_137_S_0669_MR_Axial_PD_T2_FSE__br_raw_20080820151124232_1_S55586_I116483.nii.gz,PD,PD,95.38;4.62
ADNI_130_S_0289_MR_Axial_PD_T2_FSE__br_raw_20060313144252187_1_S12109_I11848.nii.gz,PD,PD,77.97;22.03
ADNI_067_S_4310_MR_MPRAGE_br_raw_20120517153751781_67_S150940_I305133.nii.gz,T1,T1,10.91;89.09
ADNI_126_S_0606_MR_Axial_PD_T2_FSE_-_48_slices__br_raw_20060725091106726_1_S17189_I19544.nii.gz,PD,PD,73.73;26.27
ADNI_067_S_1185_MR_MPRAGE_br_raw_20070808152721319_97_S37043_I65946.nii.gz,T1,T1,2.04;97.96
ADNI_136_S_0579_MR_Axial_PD_T2_FSE__br_raw_20070625154846812_93_S33990_I57705.nii.gz,PD,PD,73.66;26.34
ADNI_130_S_0285_MR_Axial_PD_T2_FSE__br_raw_20100416163114669_95_S83435_I171250.nii.gz,PD,PD,65.70;34.30
ADNI_116_S_4199_MR_MPRAGE_br_raw_20111130155221265_126_S131380_I269305.nii.gz,T1,T1,3.90;96.10
ADNI_114_S_2392_MR_MPRAGE_br_raw_20110624141320765_85_S112488_I241614.nii.gz,T1,T1,5.14;94.86
ADNI_003_S_1057_MR_MPRAGE_br_raw_20090323091654593_98_S64900_I139584.nii.gz,T1,T1,13.63;86.37
ADNI_128_S_0522_MR_FSE_PD_T2__br_raw_20060521180939107_13_S14790_I15817.nii.gz,PD,PD,93.66;6.34
ADNI_022_S_2263_MR_MPRAGE_br_raw_20110119164955291_140_S97943_I213362.nii.gz,T1,T1,4.10;95.90
ADNI_072_S_4941_MR_MPRAGE_br_raw_20130108093221027_88_S179298_I353822.nii.gz,T1,T1,4.40;95.60
ADNI_010_S_4135_MR_MPRAGE_br_raw_20110727182214824_55_S116397_I247207.nii.gz,T1,T1,14.38;85.62
ADNI_053_S_0507_MR_Axial_PD_T2_FSE__br_raw_20071129160207171_1_S43171_I83868.nii.gz,PD,PD,76.50;23.50
ADNI_072_S_2093_MR_MPRAGE_br_raw_20150506122317073_76_S257717_I489730.nii.gz,T1,T1,6.60;93.40
ADNI_133_S_0913_MR_MPRAGE_br_raw_20070719101719239_1_S35301_I60862.nii.gz,T1,T1,2.38;97.62
ADNI_033_S_0733_MR_Axial_PD_T2_FSE__br_raw_20080808154856424_1_S55169_I115790.nii.gz,PD,PD,74.42;25.58
ADNI_036_S_2378_MR_MPRAGE_br_raw_20120627105833534_65_S155642_I312949.nii.gz,T1,T1,5.53;94.47
ADNI_126_S_0606_MR_Axial_PD_T2_FSE_-_48_slices__br_raw_20070802094903402_95_S36747_I63906.nii.gz,PD,PD,74.18;25.82
ADNI_053_S_0507_MR_MPRAGE_br_raw_20061211202217275_86_S23807_I32605.nii.gz,T1,T1,8.66;91.34
ADNI_123_S_2363_MR_MPRAGE_br_raw_20130528115831686_12_S190558_I373936.nii.gz,T1,T1,5.15;94.85
ADNI_099_S_0534_MR_MPRAGE_br_raw_20070523132442339_98_S32564_I55083.nii.gz,T1,T1,9.06;90.94
ADNI_137_S_0994_MR_Axial_PD_T2_FSE__br_raw_20071207123603098_1_S43449_I84338.nii.gz,PD,PD,88.54;11.46
ADNI_037_S_4146_MR_MPRAGE_br_raw_20120919150638458_166_S168066_I335467.nii.gz,T1,T1,3.83;96.17
ADNI_027_S_0256_MR_Axial_PD_T2_FSE__br_raw_20061009142516384_23_S19865_I25971.nii.gz,PD,PD,67.94;32.06
ADNI_052_S_0671_MR_Axial_PD_T2_FSE__br_raw_20110627165942859_35_S112714_I241988.nii.gz,PD,PD,71.82;28.18
ADNI_094_S_1417_MR_Axial_PD_T2_FSE__br_raw_20080819095548879_1_S55485_I116315.nii.gz,PD,PD,77.54;22.46
ADNI_016_S_0769_MR_MPRAGE_br_raw_20070821133053748_98_S37941_I69413.nii.gz,T1,T1,9.97;90.03
ADNI_072_S_4063_MR_MPRAGE_br_raw_20110920082145252_150_S122745_I257004.nii.gz,T1,T1,5.83;94.17
ADNI_127_S_0259_MR_Axial_PD_T2_FSE__br_raw_20060313164532004_1_S12135_I11886.nii.gz,PD,PD,84.57;15.43
ADNI_137_S_4852_MR_MPRAGE_br_raw_20121023141635018_81_S171777_I341760.nii.gz,T1,T1,7.75;92.25
ADNI_041_S_4271_MR_MPRAGE_br_raw_20120426145701020_116_S148403_I300653.nii.gz,T1,T1,5.28;94.72
ADNI_052_S_0989_MR_Axial_PD_T2_FSE__br_raw_20061114142638656_1_S22475_I29524.nii.gz,PD,PD,77.62;22.38
ADNI_006_S_0498_MR_Axial_PD_T2_FSE__br_raw_20060626130355546_1_S15855_I17503.nii.gz,PD,PD,75.98;24.02
ADNI_007_S_0041_MR_Axial_PD_T2_FSE__br_raw_20051021145156443_9_S9998_I8181.nii.gz,PD,PD,73.96;26.04
ADNI_033_S_0922_MR_Axial_PD_T2_FSE__br_raw_20080410153502558_1_S48607_I102169.nii.gz,PD,PD,72.90;27.10
ADNI_010_S_0422_MR_MPRAGE_br_raw_20061130151217604_50_S23186_I31015.nii.gz,T1,T1,16.01;83.99
ADNI_014_S_4039_MR_MPRAGE_br_raw_20120607123904597_132_S153144_I308620.nii.gz,T1,T1,7.86;92.14
ADNI_067_S_2084_MR_MPRAGE_br_raw_20100930121924386_140_S92837_I194187.nii.gz,T1,T1,4.56;95.44
ADNI_053_S_1044_MR_Axial_PD_T2_FSE__br_raw_20071122091816546_1_S42958_I82983.nii.gz,PD,PD,81.57;18.43
ADNI_012_S_0689_MR_MPRAGE_br_raw_20070727165421156_55_S36500_I62542.nii.gz,T1,T1,22.23;77.77
ADNI_020_S_1288_MR_MPRAGE_br_raw_20071013141157140_64_S41459_I77743.nii.gz,T1,T1,11.53;88.47
ADNI_041_S_0679_MR_MPRAGE_br_raw_20060721094712221_98_S17077_I19378.nii.gz,T1,T1,13.25;86.75
ADNI_072_S_4063_MR_MPRAGE_br_raw_20130626085754672_22_S193406_I378188.nii.gz,T1,T1,4.65;95.35
ADNI_130_S_4817_MR_MPRAGE_br_raw_20121016105321611_1_S170920_I340207.nii.gz,T1,T1,15.79;84.21
ADNI_031_S_2233_MR_MPRAGE_br_raw_20110614152433605_74_S111463_I240050.nii.gz,T1,T1,14.77;85.23
ADNI_033_S_0906_MR_Axial_PD_T2_FSE__br_raw_20060926122133319_1_S19312_I25051.nii.gz,PD,PD,74.03;25.97
ADNI_072_S_2116_MR_MPRAGE_br_raw_20110121113818578_14_S98008_I213610.nii.gz,T1,T1,4.17;95.83
ADNI_033_S_1283_MR_Axial_PD_T2_FSE__br_raw_20070821090038893_1_S37911_I69315.nii.gz,PD,PD,80.48;19.52
ADNI_035_S_4414_MR_MPRAGE_br_raw_20120321124657982_56_S144404_I291472.nii.gz,T1,T1,5.96;94.04
ADNI_131_S_0691_MR_Axial_PD_T2_FSE__br_raw_20070212160530164_1_S26379_I39500.nii.gz,PD,T1,45.66;54.34
ADNI_005_S_0221_MR_Axial_PD_T2_FSE__br_raw_20060303140730789_109_S11955_I11603.nii.gz,PD,PD,68.48;31.52
ADNI_094_S_1402_MR_Axial__STRAIGHT__PD_T2_FSE_br_raw_20070511140208496_1_S32101_I54219.nii.gz,PD,PD,83.12;16.88
ADNI_016_S_0769_MR_MPRAGE_br_raw_20080319102835031_98_S47270_I98972.nii.gz,T1,T1,2.03;97.97
ADNI_052_S_1054_MR_Axial_PD_T2_FSE__br_raw_20070606131233203_1_S33096_I56124.nii.gz,PD,PD,60.72;39.28
ADNI_006_S_0521_MR_Axial_PD_T2_FSE__br_raw_20060627144055906_1_S15874_I17533.nii.gz,PD,PD,69.50;30.50
ADNI_033_S_0733_MR_Axial_PD_T2_FSE__br_raw_20070814103741301_1_S37299_I67583.nii.gz,PD,PD,74.89;25.11
ADNI_002_S_0954_MR_Axial_PD_T2_FSE__br_raw_20071015175214568_95_S41497_I77801.nii.gz,PD,PD,58.33;41.67
ADNI_002_S_0729_MR_Axial_PD_T2_FSE__br_raw_20090813233640373_1_S72359_I153066.nii.gz,PD,PD,70.81;29.19
ADNI_052_S_0671_MR_Axial_PD_T2_FSE__br_raw_20060705094318968_1_S16060_I17847.nii.gz,PD,PD,67.50;32.50
ADNI_007_S_0128_MR_Axial_PD_T2_FSE__br_raw_20070822165011777_29_S38124_I69890.nii.gz,PD,PD,73.37;26.63
ADNI_137_S_1041_MR_Axial_PD_T2_FSE__br_raw_20061110084011866_63_S22289_I29237.nii.gz,PD,PD,94.89;5.11
ADNI_041_S_4513_MR_MPRAGE_br_raw_20120905161103039_109_S166286_I330743.nii.gz,T1,T1,4.10;95.90
ADNI_130_S_4468_MR_MPRAGE_br_raw_20140305155547931_17_S213646_I416048.nii.gz,T1,T1,15.29;84.71
ADNI_009_S_4324_MR_MPRAGE_br_raw_20120131182847234_84_S139027_I281698.nii.gz,T1,T1,4.66;95.34
ADNI_136_S_0874_MR_Axial_PD_T2_FSE__br_raw_20061108105649024_1_S22233_I29139.nii.gz,PD,PD,68.26;31.74
ADNI_116_S_4195_MR_MPRAGE_br_raw_20110901175610510_89_S121073_I254248.nii.gz,T1,T1,3.03;96.97
ADNI_098_S_0269_MR_Axial_PD_T2_FSE__br_raw_20060305150202859_95_S11963_I11614.nii.gz,PD,PD,81.99;18.01
ADNI_012_S_0689_MR_MPRAGE_br_raw_20070727165355187_67_S36501_I62543.nii.gz,T1,T1,13.03;86.97
ADNI_130_S_0289_MR_Axial_PD_T2_FSE__br_raw_20070322141644141_3_S28722_I46270.nii.gz,PD,PD,76.77;23.23
ADNI_041_S_4874_MR_MPRAGE_br_raw_20140902172713350_158_S229954_I442430.nii.gz,T1,T1,5.22;94.78
ADNI_137_S_0443_MR_Axial_PD_T2_FSE__br_raw_20070808120542535_95_S37007_I65815.nii.gz,PD,PD,96.01;3.99
ADNI_130_S_0285_MR_Axial_PD_T2_FSE__br_raw_20071016105837880_95_S41534_I77861.nii.gz,PD,PD,70.83;29.17
ADNI_024_S_4169_MR_MPRAGE_br_raw_20121024155503963_5_S171970_I342013.nii.gz,T1,T1,9.86;90.14
ADNI_018_S_2133_MR_MPRAGE_br_raw_20101025161338150_15_S93680_I199195.nii.gz,T1,T1,22.63;77.37
ADNI_133_S_0727_MR_Axial_PD_T2_FSE__br_raw_20080312151859200_1_S46931_I96968.nii.gz,PD,PD,65.82;34.18
ADNI_033_S_0733_MR_Axial_PD_T2_FSE__br_raw_20060719102849296_1_S16931_I19137.nii.gz,PD,PD,71.79;28.21
ADNI_033_S_0511_MR_Axial_PD_T2_FSE__br_raw_20071203103848805_1_S43228_I83963.nii.gz,PD,PD,72.75;27.25
ADNI_037_S_0552_MR_FSE_PD_T2__br_raw_20110617163409675_49_S112013_I240843.nii.gz,PD,PD,84.92;15.08
ADNI_068_S_2187_MR_MPRAGE_br_raw_20101117131314624_155_S94915_I205387.nii.gz,T1,T1,6.00;94.00
ADNI_029_S_1073_MR_Axial_PD_T2_FSE__br_raw_20061122113436006_1_S22826_I30357.nii.gz,PD,PD,72.03;27.97
ADNI_073_S_4795_MR_MPRAGE_br_raw_20141205140640986_95_S242482_I460666.nii.gz,T1,T1,6.35;93.65
ADNI_136_S_0107_MR_Axial_PD_T2_FSE__br_raw_20060830120105500_1_S18342_I23501.nii.gz,PD,PD,65.56;34.44
ADNI_053_S_0507_MR_MPRAGE_br_raw_20070611125404562_86_S33392_I56651.nii.gz,T1,T1,8.55;91.45
ADNI_067_S_2304_MR_MPRAGE_br_raw_20110914114539755_156_S122008_I255956.nii.gz,T1,T1,5.78;94.22
ADNI_033_S_5087_MR_MPRAGE_br_raw_20130214134809469_115_S182326_I359743.nii.gz,T1,T1,4.98;95.02
ADNI_073_S_5023_MR_MPRAGE_br_raw_20131009133645228_136_S203499_I393941.nii.gz,T1,T1,6.54;93.46
ADNI_072_S_4465_MR_MPRAGE_br_raw_20120214131432831_135_S140706_I284732.nii.gz,T1,T1,5.07;94.93
ADNI_053_S_1044_MR_Axial_PD_T2_FSE__br_raw_20081211111657921_1_S60771_I130080.nii.gz,PD,PD,79.87;20.13
ADNI_123_S_4127_MR_MPRAGE_br_raw_20110803202306537_20_S117357_I248584.nii.gz,T1,T1,3.97;96.03
ADNI_014_S_4039_MR_MPRAGE_br_raw_20130626155646125_71_S193475_I378271.nii.gz,T1,T1,3.20;96.80
ADNI_021_S_0273_MR_Axial_PD_T2_FSE__br_20060314125748278_1_S12166_I11938.nii.gz,PD,PD,95.79;4.21
ADNI_128_S_0205_MR_FSE_PD_T2__br_raw_20060210123111096_1_S11576_I11009.nii.gz,PD,PD,89.55;10.45
ADNI_033_S_1279_MR_Axial_PD_T2_FSE__br_raw_20090302170342091_1_S63786_I137465.nii.gz,PD,PD,73.36;26.64
ADNI_067_S_4184_MR_MPRAGE_br_raw_20130912155721867_109_S200569_I389787.nii.gz,T1,T1,6.18;93.82
ADNI_016_S_1121_MR_MPRAGE_br_raw_20081231103019656_106_S61188_I132477.nii.gz,T1,T1,3.69;96.31
ADNI_062_S_1091_MR_MPRAGE_br_raw_20061128145742768_98_S23031_I30717.nii.gz,T1,T1,17.29;82.71
ADNI_068_S_2187_MR_MPRAGE_br_raw_20150501101706491_29_S257096_I488922.nii.gz,T1,T1,8.98;91.02
ADNI_137_S_0722_MR_Axial_PD_T2_FSE__br_raw_20070228130413654_1_S27253_I41836.nii.gz,PD,PD,96.37;3.63
ADNI_037_S_4146_MR_MPRAGE_br_raw_20110907163323980_132_S121403_I255004.nii.gz,T1,T1,4.51;95.49
ADNI_094_S_1330_MR_Axial_STRAIGHT_PD_T2_FSE_br_raw_20140707174338961_113_S224394_I434649.nii.gz,PD,PD,70.54;29.46
ADNI_137_S_0669_MR_Axial_PD_T2_FSE__br_raw_20080219084607303_111_S45815_I90703.nii.gz,PD,PD,97.28;2.72
ADNI_130_S_4468_MR_MPRAGE_br_raw_20130227154904600_128_S183304_I361490.nii.gz,T1,T1,17.71;82.29
ADNI_051_S_1072_MR_MPRAGE_br_raw_20080905140703889_95_S56233_I117520.nii.gz,T1,T1,3.27;96.73
ADNI_033_S_1309_MR_Axial_PD_T2_FSE__br_raw_20080228143543349_1_S46325_I93572.nii.gz,PD,PD,79.80;20.20
ADNI_051_S_1072_MR_MPRAGE_br_raw_20070129163823443_84_S25624_I37606.nii.gz,T1,T1,4.34;95.66
ADNI_013_S_4268_MR_MPRAGE_br_raw_20120606143107171_50_S152994_I308386.nii.gz,T1,T1,14.32;85.68
ADNI_007_S_0128_MR_Axial_PD_T2_FSE__br_raw_20090212160915074_1_S62997_I135882.nii.gz,PD,PD,67.11;32.89
ADNI_031_S_0351_MR_FSE_PD_T2__br_raw_20070514162441359_1_S32193_I54356.nii.gz,PD,PD,94.88;5.12
ADNI_128_S_4599_MR_MPRAGE_br_raw_20121018160343003_72_S171406_I341153.nii.gz,T1,T1,5.83;94.17
ADNI_098_S_0667_MR_Axial_PD_T2_FSE__br_raw_20060629100302098_1_S15977_I17699.nii.gz,PD,PD,72.66;27.34
ADNI_029_S_1073_MR_Axial_PD_T2_FSE__br_raw_20080505110222765_5_S49626_I104612.nii.gz,PD,PD,67.53;32.47
ADNI_027_S_1385_MR_Axial_PD_T2_FSE__br_raw_20070921122715682_1_S39644_I74135.nii.gz,PD,PD,68.92;31.08
ADNI_037_S_4706_MR_MPRAGE_br_raw_20140512121321040_42_S218387_I424467.nii.gz,T1,T1,5.50;94.50
ADNI_035_S_4414_MR_MPRAGE_br_raw_20130319165528207_64_S184753_I363749.nii.gz,T1,T1,4.19;95.81
ADNI_073_S_4360_MR_MPRAGE_br_raw_20111117101622036_65_S130051_I267435.nii.gz,T1,T1,7.47;92.53
ADNI_094_S_1027_MR_Axial_STRAIGHT_PD_T2_FSE_br_raw_20071120103514436_1_S42879_I82829.nii.gz,PD,PD,68.79;31.21
ADNI_072_S_4226_MR_MPRAGE_br_raw_20111209125706200_10_S132304_I270727.nii.gz,T1,T1,6.04;93.96
ADNI_041_S_4989_MR_MPRAGE_br_raw_20130430084007911_76_S180126_I354970.nii.gz,T1,T1,8.22;91.78
ADNI_133_S_0727_MR_Axial_PD_T2_FSE__br_raw_20070920125441950_1_S39526_I73854.nii.gz,PD,PD,72.32;27.68
ADNI_031_S_0351_MR_FSE_PD_T2__br_raw_20071112153256360_1_S42553_I81689.nii.gz,PD,PD,90.75;9.25
ADNI_116_S_4199_MR_MPRAGE_br_raw_20131017123800202_145_S204148_I394911.nii.gz,T1,T1,4.34;95.66
ADNI_136_S_1227_MR_Axial_PD_T2_FSE__br_raw_20080307103644646_87_S46739_I95609.nii.gz,PD,PD,68.64;31.36
ADNI_098_S_0667_MR_Axial_PD_T2_FSE__br_raw_20070305105114265_1_S27461_I42597.nii.gz,PD,PD,79.29;20.71
ADNI_007_S_0128_MR_Axial_PD_T2_FSE__br_raw_20080207163428539_67_S45450_I89866.nii.gz,PD,PD,77.17;22.83
ADNI_033_S_0511_MR_Axial_PD_T2_FSE__br_raw_20070608130013135_1_S33269_I56447.nii.gz,PD,PD,73.22;26.78
ADNI_022_S_2263_MR_MPRAGE_br_raw_20130301172303749_146_S183544_I361823.nii.gz,T1,T1,3.87;96.13
ADNI_073_S_4259_MR_MPRAGE_br_raw_20120521152237230_12_S151184_I305665.nii.gz,T1,T1,4.83;95.17
ADNI_072_S_4465_MR_MPRAGE_br_raw_20120515132937109_27_S150437_I304180.nii.gz,T1,T1,4.67;95.33
ADNI_136_S_0874_MR_Axial_PD_T2_FSE__br_raw_20070605152022272_1_S33047_I55987.nii.gz,PD,PD,67.05;32.95
ADNI_116_S_4199_MR_MPRAGE_br_raw_20120907150051458_49_S166547_I332363.nii.gz,T1,T1,5.38;94.62
ADNI_009_S_5252_MR_MPRAGE_br_raw_20140227152524000_59_S213442_I415587.nii.gz,T1,T1,6.48;93.52
ADNI_036_S_0672_MR_MPRAGE_br_raw_20070801152501768_31_S36716_I63673.nii.gz,T1,T1,16.09;83.91
ADNI_053_S_0919_MR_Axial_PD_T2_FSE__br_raw_20111115163034902_81_S129519_I266778.nii.gz,PD,PD,81.55;18.45
ADNI_067_S_4072_MR_MPRAGE_br_raw_20120209113149922_139_S140294_I283640.nii.gz,T1,T1,5.73;94.27
ADNI_067_S_4184_MR_MPRAGE_br_raw_20111219110341534_32_S133710_I272923.nii.gz,T1,T1,6.75;93.25
ADNI_128_S_4607_MR_MPRAGE_br_raw_20150601151858812_104_S261817_I495305.nii.gz,T1,T1,6.04;93.96
ADNI_031_S_4024_MR_MPRAGE_br_raw_20110804161455996_19_S117504_I248872.nii.gz,T1,T1,15.17;84.83
ADNI_023_S_0331_MR_MPRAGE_br_raw_20060324083913796_1_S12428_I12373.nii.gz,T1,T1,11.16;88.84
ADNI_128_S_4599_MR_MPRAGE_br_raw_20150417141952398_64_S256016_I487400.nii.gz,T1,T1,5.24;94.76
ADNI_033_S_1279_MR_Axial_PD_T2_FSE__br_raw_20070219121545870_1_S26693_I40901.nii.gz,PD,PD,70.52;29.48
ADNI_072_S_2116_MR_MPRAGE_br_raw_20121108124622321_48_S173767_I345514.nii.gz,T1,T1,3.69;96.31
ADNI_002_S_0729_MR_Axial_PD_T2_FSE__br_raw_20070905153805180_1_S38906_I71847.nii.gz,PD,PD,69.88;30.12
ADNI_126_S_0606_MR_Axial_PD_T2_FSE_-_48_slices__br_raw_20070131041348510_1_S25768_I37864.nii.gz,PD,PD,72.23;27.77
